subject_name,day_of_week,start_time,end_time,location,professor,color
Mathematics,Monday,09:00,10:30,Room 201,Dr. Smith,#FF6B6B
Physics,Monday,11:00,12:30,Lab A,Prof. Johnson,#4ECDC4
Computer Science,Monday,14:00,15:30,Lab B,Dr. Chen,#45B7D1
English Literature,Tuesday,09:00,10:30,Room 105,Ms. Davis,#96CEB4
History,Tuesday,11:00,12:30,Room 302,Prof. Wilson,#FFEAA7
Chemistry,Tuesday,14:00,16:00,Lab C,Dr. Brown,#DDA0DD
Mathematics,Wednesday,09:00,10:30,Room 201,Dr. Smith,#FF6B6B
Art,Wednesday,11:00,13:00,Studio 1,Ms. Garcia,#98D8C8
Physical Education,Wednesday,15:00,16:30,Gymnasium,Coach Miller,#F7DC6F
Physics,Thursday,09:00,10:30,Lab A,Prof. Johnson,#4ECDC4
English Literature,Thursday,11:00,12:30,Room 105,Ms. Davis,#96CEB4
Computer Science,Thursday,14:00,15:30,Lab B,Dr. Chen,#45B7D1
Chemistry,Friday,09:00,11:00,Lab C,Dr. Brown,#DDA0DD
History,Friday,11:30,13:00,Room 302,Prof. Wilson,#FFEAA7
Music,Friday,14:00,15:30,Music Hall,Mr. Taylor,#BB8FCE
